geoid,name,B19013001,"B19013001, Error"
14000US36005016100,"Census Tract 161, Bronx, NY",19599,3328
14000US36005016200,"Census Tract 162, Bronx, NY",85909,19994
14000US36005016300,"Census Tract 163, Bronx, NY",,
14000US36005016400,"Census Tract 164, Bronx, NY",66681,17662
14000US36005016500,"Census Tract 165, Bronx, NY",35156,19867
14000US36005016600,"Census Tract 166, Bronx, NY",95372,16387
14000US36005016700,"Census Tract 167, Bronx, NY",46481,11796
14000US36005016900,"Census Tract 169, Bronx, NY",45273,7447
14000US36005017100,"Census Tract 171, Bronx, NY",,
14000US36005017300,"Census Tract 173, Bronx, NY",29063,16284
14000US36005017500,"Census Tract 175, Bronx, NY",25767,6336
14000US36005017701,"Census Tract 177.01, Bronx, NY",33428,19306
14000US36005017702,"Census Tract 177.02, Bronx, NY",42262,10742
14000US36005017901,"Census Tract 179.01, Bronx, NY",42774,14613
14000US36005017902,"Census Tract 179.02, Bronx, NY",36614,5520
14000US36005018101,"Census Tract 181.01, Bronx, NY",48464,22142
14000US36005018102,"Census Tract 181.02, Bronx, NY",30063,15076
14000US36005018301,"Census Tract 183.01, Bronx, NY",43350,14178
14000US36005018302,"Census Tract 183.02, Bronx, NY",57180,17448
14000US36005018400,"Census Tract 184, Bronx, NY",105052,28562
14000US36005018501,"Census Tract 185.01, Bronx, NY",47826,21371
14000US36005018502,"Census Tract 185.02, Bronx, NY",23508,5453
14000US36005018900,"Census Tract 189, Bronx, NY",36087,13671
14000US36005019300,"Census Tract 193, Bronx, NY",35291,5925
14000US36005019400,"Census Tract 194, Bronx, NY",63452,13509
14000US36005019500,"Census Tract 195, Bronx, NY",44323,17121
14000US36005019700,"Census Tract 197, Bronx, NY",31008,19211
14000US36005019900,"Census Tract 199, Bronx, NY",37080,12282
14000US36005020000,"Census Tract 200, Bronx, NY",41250,4996
14000US36005020100,"Census Tract 201, Bronx, NY",38235,9643
14000US36005020200,"Census Tract 202, Bronx, NY",48204,5960
14000US36005020400,"Census Tract 204, Bronx, NY",57159,15828
14000US36005020501,"Census Tract 205.01, Bronx, NY",19147,4008
14000US36005020502,"Census Tract 205.02, Bronx, NY",37946,18137
14000US36005020601,"Census Tract 206.01, Bronx, NY",53750,20356
14000US36005020900,"Census Tract 209, Bronx, NY",39489,13881
14000US36005021001,"Census Tract 210.01, Bronx, NY",56258,9578
14000US36005021002,"Census Tract 210.02, Bronx, NY",61940,8454
14000US36005021100,"Census Tract 211, Bronx, NY",35855,6063
14000US36005021200,"Census Tract 212, Bronx, NY",61146,10766
14000US36005021301,"Census Tract 213.01, Bronx, NY",34773,27203
14000US36005021302,"Census Tract 213.02, Bronx, NY",19660,17282
14000US36005021501,"Census Tract 215.01, Bronx, NY",36607,13529
14000US36005021502,"Census Tract 215.02, Bronx, NY",26176,12806
14000US36005021601,"Census Tract 216.01, Bronx, NY",39283,15776
14000US36005021602,"Census Tract 216.02, Bronx, NY",54410,7985
14000US36005021700,"Census Tract 217, Bronx, NY",40794,6991
14000US36005021800,"Census Tract 218, Bronx, NY",50849,16272
14000US36005021900,"Census Tract 219, Bronx, NY",40587,15035
14000US36005022000,"Census Tract 220, Bronx, NY",29625,11265
14000US36005022101,"Census Tract 221.01, Bronx, NY",37200,15878
14000US36005022102,"Census Tract 221.02, Bronx, NY",40500,11677
14000US36005022200,"Census Tract 222, Bronx, NY",46806,15910
14000US36005022300,"Census Tract 223, Bronx, NY",30694,5313
14000US36005022401,"Census Tract 224.01, Bronx, NY",50262,14971
14000US36005022403,"Census Tract 224.03, Bronx, NY",80140,14574
14000US36005022404,"Census Tract 224.04, Bronx, NY",62656,15589
14000US36005022500,"Census Tract 225, Bronx, NY",47254,9388
14000US36005022701,"Census Tract 227.01, Bronx, NY",32773,13696
14000US36005022702,"Census Tract 227.02, Bronx, NY",24201,4170
14000US36005022703,"Census Tract 227.03, Bronx, NY",70882,7133
14000US36005022800,"Census Tract 228, Bronx, NY",66352,8902
14000US36005022901,"Census Tract 229.01, Bronx, NY",41317,13157
14000US36005022902,"Census Tract 229.02, Bronx, NY",46576,20613
14000US36005023000,"Census Tract 230, Bronx, NY",51490,6864
14000US36005023100,"Census Tract 231, Bronx, NY",47321,13155
14000US36005023200,"Census Tract 232, Bronx, NY",53266,5940
14000US36005023301,"Census Tract 233.01, Bronx, NY",37887,21714
14000US36005023302,"Census Tract 233.02, Bronx, NY",47857,9106
14000US36005023501,"Census Tract 235.01, Bronx, NY",31786,16136
14000US36005023502,"Census Tract 235.02, Bronx, NY",44757,14449
14000US36005023600,"Census Tract 236, Bronx, NY",42121,18531
14000US36005023702,"Census Tract 237.02, Bronx, NY",48646,17954
14000US36005023703,"Census Tract 237.03, Bronx, NY",19179,10681
14000US36005023704,"Census Tract 237.04, Bronx, NY",31420,20051
14000US36005023800,"Census Tract 238, Bronx, NY",64760,10603
14000US36005023900,"Census Tract 239, Bronx, NY",43102,5009
14000US36005024000,"Census Tract 240, Bronx, NY",71513,29813
14000US36005024100,"Census Tract 241, Bronx, NY",42482,8209
14000US36005024300,"Census Tract 243, Bronx, NY",31435,16870
14000US36005024400,"Census Tract 244, Bronx, NY",54359,14763
14000US36005024501,"Census Tract 245.01, Bronx, NY",35303,13827
14000US36005024502,"Census Tract 245.02, Bronx, NY",42396,27827
14000US36005024600,"Census Tract 246, Bronx, NY",77188,15285
14000US36005024700,"Census Tract 247, Bronx, NY",52016,21200
14000US36005024800,"Census Tract 248, Bronx, NY",77731,16699
14000US36005024900,"Census Tract 249, Bronx, NY",,
