geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge
36061004900,3.0,"Census Tract 49, New York, NY",119821.0,27470.0,61.0,49.0,4900.0,both
36061005502,3.0,"Census Tract 55.02, New York, NY",129250.0,32967.0,61.0,55.02,5502.0,both
36085002100,3.0,"Census Tract 21, Richmond, NY",61500.0,21222.0,85.0,21.0,2100.0,both
36061006700,3.0,"Census Tract 67, New York, NY",113685.0,21795.0,61.0,67.0,6700.0,both
36061015302,3.0,"Census Tract 153.02, New York, NY",127339.0,41388.0,61.0,153.02,15302.0,both
36061014402,3.0,"Census Tract 144.02, New York, NY",135301.0,23921.0,61.0,144.02,14402.0,both
36061007900,3.0,"Census Tract 79, New York, NY",104246.0,19912.0,61.0,79.0,7900.0,both
36061014200,3.0,"Census Tract 142, New York, NY",211951.0,89044.0,61.0,142.0,14200.0,both
36061024301,3.0,"Census Tract 243.01, New York, NY",71250.0,14412.0,61.0,243.01,24301.0,both
36047089800,3.0,"Census Tract 898, Kings, NY",56054.0,13614.0,47.0,898.0,89800.0,both
36047013300,3.0,"Census Tract 133, Kings, NY",205556.0,33982.0,47.0,133.0,13300.0,both
36047020500,3.0,"Census Tract 205, Kings, NY",128281.0,28662.0,47.0,205.0,20500.0,both
36081006300,3.0,"Census Tract 63, Queens, NY",105171.0,18861.0,81.0,63.0,6300.0,both
36047013900,3.0,"Census Tract 139, Kings, NY",151643.0,19481.0,47.0,139.0,13900.0,both
36061006300,2.0,"Census Tract 63, New York, NY",160781.0,30498.0,61.0,63.0,6300.0,both
36061018300,2.0,"Census Tract 183, New York, NY",129909.0,46158.0,61.0,183.0,18300.0,both
36061007100,2.0,"Census Tract 71, New York, NY",176711.0,35837.0,61.0,71.0,7100.0,both
36061000600,2.0,"Census Tract 6, New York, NY",19692.0,8736.0,61.0,6.0,600.0,both
36047000502,2.0,"Census Tract 5.02, Kings, NY",155600.0,10843.0,47.0,5.02,502.0,both
36047012700,2.0,"Census Tract 127, Kings, NY",57829.0,25394.0,47.0,127.0,12700.0,both
36081064102,2.0,,,,,,,left_only
36005039100,2.0,"Census Tract 391, Bronx, NY",29154.0,8830.0,5.0,391.0,39100.0,both
36061002602,2.0,"Census Tract 26.02, New York, NY",68537.0,23736.0,61.0,26.02,2602.0,both
36061025700,2.0,"Census Tract 257, New York, NY",83750.0,15314.0,61.0,257.0,25700.0,both
36047059300,2.0,"Census Tract 593, Kings, NY",95595.0,19065.0,47.0,593.0,59300.0,both
36005037504,2.0,"Census Tract 375.04, Bronx, NY",25417.0,5896.0,5.0,375.04,37504.0,both
36005027300,2.0,"Census Tract 273, Bronx, NY",48459.0,13824.0,5.0,273.0,27300.0,both
36081036100,2.0,"Census Tract 361, Queens, NY",67225.0,26495.0,81.0,361.0,36100.0,both
36061003800,2.0,"Census Tract 38, New York, NY",72736.0,9720.0,61.0,38.0,3800.0,both
36061003900,2.0,"Census Tract 39, New York, NY",190563.0,125111.0,61.0,39.0,3900.0,both
36047006300,2.0,"Census Tract 63, Kings, NY",156397.0,31580.0,47.0,63.0,6300.0,both
36061005600,2.0,"Census Tract 56, New York, NY",162105.0,52222.0,61.0,56.0,5600.0,both
36047007100,2.0,"Census Tract 71, Kings, NY",42526.0,14975.0,47.0,71.0,7100.0,both
36047020700,2.0,"Census Tract 207, Kings, NY",158214.0,25145.0,47.0,207.0,20700.0,both
36061007400,2.0,"Census Tract 74, New York, NY",178045.0,22878.0,61.0,74.0,7400.0,both
36047013000,2.0,"Census Tract 130, Kings, NY",81160.0,5228.0,47.0,130.0,13000.0,both
36047052600,2.0,"Census Tract 526, Kings, NY",73895.0,6121.0,47.0,526.0,52600.0,both
36047037700,2.0,"Census Tract 377, Kings, NY",70865.0,27913.0,47.0,377.0,37700.0,both
36061024500,2.0,"Census Tract 245, New York, NY",45645.0,4225.0,61.0,245.0,24500.0,both
36061009903,2.0,"Census Tract 99.03, New York, NY",143011.0,82150.0,61.0,99.03,9903.0,both
36061008900,2.0,"Census Tract 89, New York, NY",111131.0,32036.0,61.0,89.0,8900.0,both
36047049700,2.0,"Census Tract 497, Kings, NY",107625.0,18284.0,47.0,497.0,49700.0,both
36061014401,2.0,"Census Tract 144.01, New York, NY",166583.0,49167.0,61.0,144.01,14401.0,both
36061007800,2.0,"Census Tract 78, New York, NY",151900.0,35907.0,61.0,78.0,7800.0,both
36047026500,2.0,"Census Tract 265, Kings, NY",75612.0,25510.0,47.0,265.0,26500.0,both
36081026700,2.0,"Census Tract 267, Queens, NY",47364.0,7300.0,81.0,267.0,26700.0,both
36061019702,2.0,"Census Tract 197.02, New York, NY",85227.0,32557.0,61.0,197.02,19702.0,both
36047003300,2.0,"Census Tract 33, Kings, NY",126101.0,38204.0,47.0,33.0,3300.0,both
36061015002,2.0,"Census Tract 150.02, New York, NY",250001.0,,61.0,150.02,15002.0,both
36047002100,2.0,"Census Tract 21, Kings, NY",250001.0,,47.0,21.0,2100.0,both
36047003700,2.0,"Census Tract 37, Kings, NY",144732.0,22556.0,47.0,37.0,3700.0,both
36047014902,2.0,"Census Tract 149.02, Kings, NY",134817.0,47844.0,47.0,149.02,14902.0,both
36081011300,2.0,"Census Tract 113, Queens, NY",107609.0,10477.0,81.0,113.0,11300.0,both
36085002900,1.0,"Census Tract 29, Richmond, NY",41111.0,29927.0,85.0,29.0,2900.0,both
36081027102,1.0,"Census Tract 271.02, Queens, NY",69775.0,15943.0,81.0,271.02,27102.0,both
36061015402,1.0,"Census Tract 154.02, New York, NY",104593.0,56296.0,61.0,154.02,15402.0,both
36085005902,1.0,,,,,,,left_only
36061014000,1.0,"Census Tract 140, New York, NY",131641.0,34225.0,61.0,140.0,14000.0,both
36081125700,1.0,"Census Tract 1257, Queens, NY",71852.0,18440.0,81.0,1257.0,125700.0,both
36085013400,1.0,"Census Tract 134, Richmond, NY",79412.0,28002.0,85.0,134.0,13400.0,both
36061015900,1.0,"Census Tract 159, New York, NY",144315.0,30528.0,61.0,159.0,15900.0,both
36061013604,1.0,"Census Tract 136.04, New York, NY",126863.0,35803.0,61.0,136.04,13604.0,both
36085003300,1.0,"Census Tract 33, Richmond, NY",99750.0,26133.0,85.0,33.0,3300.0,both
36061029500,1.0,"Census Tract 295, New York, NY",80327.0,7759.0,61.0,295.0,29500.0,both
36081116700,1.0,"Census Tract 1167, Queens, NY",53482.0,10426.0,81.0,1167.0,116700.0,both
36081019901,1.0,,,,,,,left_only
36061024700,1.0,"Census Tract 247, New York, NY",49888.0,48134.0,61.0,247.0,24700.0,both
36081009900,1.0,,,,,,,left_only
36061021900,1.0,"Census Tract 219, New York, NY",22068.0,7840.0,61.0,219.0,21900.0,both
36061021400,1.0,"Census Tract 214, New York, NY",54375.0,14492.0,61.0,214.0,21400.0,both
36081045700,1.0,"Census Tract 457, Queens, NY",65121.0,16517.0,81.0,457.0,45700.0,both
36061020000,1.0,"Census Tract 200, New York, NY",61250.0,23829.0,61.0,200.0,20000.0,both
36061019900,1.0,"Census Tract 199, New York, NY",91056.0,31581.0,61.0,199.0,19900.0,both
36081041100,1.0,"Census Tract 411, Queens, NY",62870.0,13021.0,81.0,411.0,41100.0,both
36081013800,1.0,"Census Tract 138, Queens, NY",74083.0,9603.0,81.0,138.0,13800.0,both
36061019200,1.0,"Census Tract 192, New York, NY",16295.0,6718.0,61.0,192.0,19200.0,both
36081055100,1.0,"Census Tract 551, Queens, NY",66250.0,20986.0,81.0,551.0,55100.0,both
36081059300,1.0,"Census Tract 593, Queens, NY",73693.0,24091.0,81.0,593.0,59300.0,both
36061018000,1.0,"Census Tract 180, New York, NY",27152.0,15095.0,61.0,180.0,18000.0,both
36061017900,1.0,"Census Tract 179, New York, NY",125259.0,36289.0,61.0,179.0,17900.0,both
36081063302,1.0,"Census Tract 633.02, Queens, NY",105417.0,42979.0,81.0,633.02,63302.0,both
36081037501,1.0,"Census Tract 375.01, Queens, NY",58179.0,12423.0,81.0,375.01,37501.0,both
36061017200,1.0,"Census Tract 172, New York, NY",35486.0,17206.0,61.0,172.0,17200.0,both
36061017000,1.0,"Census Tract 170, New York, NY",40742.0,8569.0,61.0,170.0,17000.0,both
36061029100,1.0,"Census Tract 291, New York, NY",50106.0,7470.0,61.0,291.0,29100.0,both
36081077300,1.0,"Census Tract 773, Queens, NY",99444.0,14977.0,81.0,773.0,77300.0,both
36061016500,1.0,"Census Tract 165, New York, NY",194477.0,38695.0,61.0,165.0,16500.0,both
36081104700,1.0,"Census Tract 1047, Queens, NY",59973.0,22681.0,81.0,1047.0,104700.0,both
36081035200,1.0,"Census Tract 352, Queens, NY",97417.0,13929.0,81.0,352.0,35200.0,both
36061016600,1.0,,,,,,,left_only
36005001600,1.0,"Census Tract 16, Bronx, NY",40033.0,9907.0,5.0,16.0,1600.0,both
36061012700,1.0,"Census Tract 127, New York, NY",132578.0,41898.0,61.0,127.0,12700.0,both
36047013400,1.0,"Census Tract 134, Kings, NY",97351.0,22140.0,47.0,134.0,13400.0,both
36047005900,1.0,"Census Tract 59, Kings, NY",86167.0,28460.0,47.0,59.0,5900.0,both
36047007000,1.0,"Census Tract 70, Kings, NY",78565.0,18697.0,47.0,70.0,7000.0,both
36047007700,1.0,"Census Tract 77, Kings, NY",175469.0,31622.0,47.0,77.0,7700.0,both
36047008200,1.0,"Census Tract 82, Kings, NY",42679.0,21697.0,47.0,82.0,8200.0,both
36047008400,1.0,"Census Tract 84, Kings, NY",71546.0,21763.0,47.0,84.0,8400.0,both
36047009401,1.0,"Census Tract 94.01, Kings, NY",40978.0,9967.0,47.0,94.01,9401.0,both
36047009600,1.0,"Census Tract 96, Kings, NY",63457.0,15986.0,47.0,96.0,9600.0,both
36047014102,1.0,"Census Tract 141.02, Kings, NY",141025.0,39965.0,47.0,141.02,14102.0,both
36047005000,1.0,"Census Tract 50, Kings, NY",125958.0,24392.0,47.0,50.0,5000.0,both
36047014300,1.0,"Census Tract 143, Kings, NY",131875.0,21876.0,47.0,143.0,14300.0,both
36047015500,1.0,"Census Tract 155, Kings, NY",190556.0,50253.0,47.0,155.0,15500.0,both
36047015700,1.0,"Census Tract 157, Kings, NY",166372.0,18669.0,47.0,157.0,15700.0,both
36047015900,1.0,"Census Tract 159, Kings, NY",187883.0,36979.0,47.0,159.0,15900.0,both
36047016700,1.0,"Census Tract 167, Kings, NY",188827.0,24189.0,47.0,167.0,16700.0,both
36047016900,1.0,"Census Tract 169, Kings, NY",112419.0,13532.0,47.0,169.0,16900.0,both
36047018100,1.0,"Census Tract 181, Kings, NY",121600.0,17002.0,47.0,181.0,18100.0,both
36047005301,1.0,"Census Tract 53.01, Kings, NY",125357.0,26017.0,47.0,53.01,5301.0,both
36047004600,1.0,"Census Tract 46, Kings, NY",122813.0,114669.0,47.0,46.0,4600.0,both
36061011300,1.0,"Census Tract 113, New York, NY",81667.0,8561.0,61.0,113.0,11300.0,both
36005015700,1.0,"Census Tract 157, Bronx, NY",37600.0,6171.0,5.0,157.0,15700.0,both
36005002500,1.0,"Census Tract 25, Bronx, NY",25954.0,9864.0,5.0,25.0,2500.0,both
