wkt_geom,MEAN_X,MEAN_Y,object_id,lat,lon,GEOID,STATE,COUNTY,TRACT,BLOCK
Point (982799.78553284704685211 209344.63508420437574387),982799.785532847,209344.6350842044,500.0,40.741279999999996,-74.00523309999998,360610083003003,36,061,008300,3003
Point (982802.9840172603726387 207528.70539914816617966),982802.9840172605,207528.70539914814,152.0,40.736290000000004,-74.00522120000001,360610077004003,36,061,007700,4003
Point (982855.98440338671207428 207290.47572468966245651),982855.9844033868,207290.4757246897,151.0,40.735640000000004,-74.00502990000001,360610073005000,36,061,007300,5000
Point (982886.45579914003610611 174945.81895743310451508),982886.45579914,174945.8189574331,20.0,40.64686,-74.0049136,360470096004000,36,047,009600,4000
Point (982908.50234296917915344 207053.24670439958572388),982908.5023429692,207053.24670439961,150.0,40.73499,-74.0048403,360610073005001,36,061,007300,5001
Point (982945.4345744401216507 203235.87769872942590155),982945.43457444,203235.87769872943,522.0,40.724509999999995,-74.0047064,360610037003011,36,061,003700,3011
Point (982959.7423979714512825 206817.51062731444835663),982959.7423979716,206817.51062731445,149.0,40.73434,-74.0046554,360610073004000,36,061,007300,4000
Point (982977.51226619386579841 203526.16780056059360504),982977.5122661941,203526.1678005606,526.0,40.72531,-74.0045907,360610037003006,36,061,003700,3006
Point (983024.78984005749225616 206586.52700135111808777),983024.7898400576,206586.52700135115,237.0,40.733709999999995,-74.00442070000001,360610073004001,36,061,007300,4001
Point (983105.88859517872333527 206387.12287259846925735),983105.8885951787,206387.12287259847,238.0,40.73316,-74.00412800000001,360610073004002,36,061,007300,4002
Point (983145.95462396740913391 185743.10379327088594437),983145.9546239673,185743.1037932709,21.0,40.6765,-74.0039802,360470059002029,36,047,005900,2029
Point (983182.4865390956401825 177203.82395585626363754),983182.4865390956,177203.82395585626,447.0,40.653059999999996,-74.00384720000001,360470084001002,36,047,008400,1002
Point (983198.11265613883733749 206192.61686397343873978),983198.1126561387,206192.61686397344,156.0,40.73263,-74.0037952,360610073004003,36,061,007300,4003
Point (983228.26187405735254288 210996.47946751862764359),983228.2618740574,210996.47946751863,263.0,40.74581,-74.0036871,360610089004000,36,061,008900,4000
Point (983229.22332225739955902 205710.53285439312458038),983229.2233222574,205710.53285439312,383.0,40.7313,-74.0036829,360610067003000,36,061,006700,3000
Point (983237.86274068057537079 173505.7086486890912056),983237.8627406808,173505.70864868912,19.0,40.64291,-74.0036471,360470094012001,36,047,009401,2001
Point (983418.72770047187805176 203440.61400184780359268),983418.727700472,203440.6140018478,154.0,40.72507,-74.00299890000001,360610049002002,36,061,004900,2002
Point (983534.36936551332473755 197199.1086043119430542),983534.3693655131,197199.10860431194,464.0,40.70794,-74.002581,360610015013005,36,061,001501,3005
Point (983562.08699379861354828 205978.22260772436857224),983562.0869937986,205978.22260772443,157.0,40.732040000000005,-74.0024819,360610067001000,36,061,006700,1000
Point (983597.2366938441991806 204433.52868268638849258),983597.2366938442,204433.52868268642,453.0,40.7278,-74.00235490000001,360610037002000,36,061,003700,2000
