geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge,has_open_streets,prediction_logodds,prediction_odds,prediction_pct
36047019500,4,"Census Tract 195, Kings, NY",9.6106,22621.0,47.0,195.0,19500.0,both,1,-1.9233999529601649,0.14610935176075013,0.1274829068764552
36061016100,4,"Census Tract 161, New York, NY",11.9914,24237.0,61.0,161.0,16100.0,both,1,-0.8522773624434836,0.42644266076207915,0.2989553470969885
36047026700,4,"Census Tract 267, Kings, NY",9.6618,20673.0,47.0,267.0,26700.0,both,1,-1.918277864651726,0.14685965668679946,0.12805372987926625
36061020102,4,"Census Tract 201.02, New York, NY",7.9273,21212.0,61.0,201.02,20102.0,both,1,-1.2588531260045657,0.2839795285457009,0.22117138336882228
36047052000,4,"Census Tract 520, Kings, NY",10.8994,3389.0,47.0,520.0,52000.0,both,1,-1.7944673863211742,0.1662159576678615,0.14252588174170727
36047055100,4,"Census Tract 551, Kings, NY",10.9662,23709.0,47.0,551.0,55100.0,both,1,-1.7877846617312576,0.16733045292015294,0.1433445452412939
36061019500,4,"Census Tract 195, New York, NY",10.5234,7345.0,61.0,195.0,19500.0,both,1,-0.9991372381620116,0.36819697047065014,0.26911108445445026
36061001600,4,"Census Tract 16, New York, NY",4.1583,31261.0,61.0,16.0,1600.0,both,1,-1.6359068532410301,0.19477565824793544,0.1630227875026864
36061001501,4,"Census Tract 15.01, New York, NY",10.9832,14629.0,61.0,15.01,1501.0,both,1,-0.9531384841733339,0.385529145597705,0.2782540856846365
36047059100,4,"Census Tract 591, Kings, NY",12.3872,19998.0,47.0,591.0,59100.0,both,1,-1.6456267030146177,0.19289163913436852,0.16170088950773592
36061003200,4,"Census Tract 32, New York, NY",8.2984,13187.0,61.0,32.0,3200.0,both,1,-1.2217279898471092,0.294720452710334,0.22763249942748173
36061012500,4,"Census Tract 125, New York, NY",15.7177,56610.0,61.0,125.0,12500.0,both,1,-0.47949537682362786,0.6190957230449635,0.38237129172366463
36081112300,4,"Census Tract 1123, Queens, NY",10.75,28144.0,81.0,1123.0,112300.0,both,1,-2.7936995908423907,0.06119440037182447,0.057665589217567474
36047004300,4,"Census Tract 43, Kings, NY",13.6226,18757.0,47.0,43.0,4300.0,both,1,-1.5220363144160693,0.21826697392898858,0.17916185745811009
36047013100,4,"Census Tract 131, Kings, NY",13.9028,65516.0,47.0,131.0,13100.0,both,1,-1.4940048858218382,0.22447186876471464,0.18332137674274937
36047004100,4,"Census Tract 41, Kings, NY",19.575,17962.0,47.0,41.0,4100.0,both,1,-0.9265535322451137,0.39591587298840586,0.28362445090678773
36047001100,4,"Census Tract 11, Kings, NY",15.4167,34801.0,47.0,11.0,1100.0,both,1,-1.3425531379674247,0.2611779931586899,0.20709050948831986
