wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (981318.81375726312398911 195674.70794577151536942)	981318.8137572632	195674.7079457715	71	40.70376	-74.0105716
Point (981332.71306236088275909 196981.39819108447409235)	981332.7130623609	196981.39819108447	524	40.70734	-74.010522
Point (981374.08156375586986542 195885.29732846716069616)	981374.0815637558	195885.29732846716	37	40.70434	-74.0103724
Point (981472.07444155961275101 200340.58066780865192413)	981472.0744415596	200340.58066780865	147	40.71656	-74.0100207
Point (981483.79062546789646149 195826.40383660048246384)	981483.7906254679	195826.40383660048	36	40.70417	-74.0099767
Point (981502.48136892914772034 196006.49058272689580917)	981502.4813689291	196006.4905827269	72	40.70467	-74.0099093
Point (981598.26841488480567932 200743.91647530347108841)	981598.2684148848	200743.91647530347	146	40.71767	-74.0095657
Point (981704.93191546946763992 196018.95446855574846268)	981704.9319154695	196018.95446855575	73	40.7047	-74.0091791
Point (981824.87557321786880493 200412.47340460121631622)	981824.8755732179	200412.47340460122	229	40.71676	-74.0087481
Point (981867.96751458942890167 206339.39314522594213486)	981867.9675145894	206339.39314522594	148	40.73303	-74.0085947
Point (981911.24553390091750771 196179.69960857182741165)	981911.2455339009	196179.69960857183	38	40.70514	-74.0084351
Point (981950.04182551056146622 176851.28299427032470703)	981950.0418255106	176851.28299427032	446	40.65209	-74.0082887
Point (981956.05313238501548767 198368.66564839085913263)	981956.053132385	198368.66564839086	537	40.71115	-74.0082742
Point (982037.65090226382017136 196310.92255260050296783)	982037.6509022638	196310.9225526005	39	40.7055	-74.0079792
Point (982042.40154892951250076 204554.41443172842264175)	982042.4015489295	204554.41443172842	230	40.72813	-74.0079647
Point (982151.79437475651502609 198203.88169318437576294)	982151.7943747565	198203.88169318435	39.99999999999999	40.7107	-74.0075681
Point (982240.39475530385971069 208659.31517859548330307)	982240.3947553037	208659.31517859548	233	40.7394	-74.0072516
Point (982271.94816988706588745 208868.57509472221136093)	982271.9481698871	208868.5750947222	234	40.73997	-74.0071378
Point (982400.33866113424301147 209100.85793068259954453)	982400.3386611344	209100.8579306826	153	40.74061	-74.0066745
Point (982545.76340309530496597 206112.39064647257328033)	982545.7634030953	206112.39064647257	231	40.73241	-74.006149
Point (982689.67387643456459045 206116.42279063910245895)	982689.6738764346	206116.4227906391	232	40.73242	-74.0056297
Point (982788.74027934670448303 203404.99579881131649017)	982788.7402793467	203404.99579881132	235	40.72498	-74.0052717
Point (982799.78553284704685211 209344.63508420437574387)	982799.785532847	209344.63508420438	500	40.74128	-74.0052331
Point (982802.9840172603726387 207528.70539914816617966)	982802.9840172604	207528.70539914814	152	40.73629	-74.0052212
Point (982855.98440338671207428 207290.47572468966245651)	982855.9844033867	207290.47572468966	151	40.73564	-74.0050299
Point (982886.45579914003610611 174945.81895743310451508)	982886.45579914	174945.8189574331	19.999999999999996	40.64686	-74.0049136
Point (982908.50234296917915344 207053.24670439958572388)	982908.5023429692	207053.2467043996	150	40.73499	-74.0048403
Point (982945.4345744401216507 203235.87769872942590155)	982945.4345744401	203235.8776987294	522	40.72451	-74.0047064
Point (982959.7423979714512825 206817.51062731444835663)	982959.7423979715	206817.51062731445	149	40.73434	-74.0046554
Point (982977.51226619386579841 203526.16780056059360504)	982977.5122661939	203526.1678005606	526	40.72531	-74.0045907
Point (983024.78984005749225616 206586.52700135111808777)	983024.7898400575	206586.52700135112	237	40.73371	-74.0044207
Point (983105.88859517872333527 206387.12287259846925735)	983105.8885951787	206387.12287259847	238	40.73316	-74.004128
Point (983145.95462396740913391 185743.10379327088594437)	983145.9546239674	185743.1037932709	21	40.6765	-74.0039802
Point (983182.4865390956401825 177203.82395585626363754)	983182.4865390956	177203.82395585626	447	40.65306	-74.0038472
Point (983198.11265613883733749 206192.61686397343873978)	983198.1126561388	206192.61686397344	156	40.73263	-74.0037952
Point (983228.26187405735254288 210996.47946751862764359)	983228.2618740574	210996.47946751863	263	40.74581	-74.0036871
Point (983229.22332225739955902 205710.53285439312458038)	983229.2233222574	205710.53285439312	383	40.7313	-74.0036829
Point (983237.86274068057537079 173505.7086486890912056)	983237.8627406807	173505.70864868912	19	40.64291	-74.0036471
